because	IN	because
I	PP	I
no	DT	no
cos	NN	cos
I	PP	I
travelled	VBD	travel
over	RP	over
there	RB	there
with	IN	with
and	CC	and
we	PP	we
had	VBD	have
the	DT	the
Thursday	NP	Thursday
together	RB	together
and	CC	and
then	RB	then
he	PP	he
went	VBD	go
off	RP	off
to	TO	to
meet	VB	meet
a	DT	a
load	NN	load
of	IN	of
friends	NNS	friend
cos	NN	cos
they	PP	they
were	VBD	be
doing	VBG	do
a	DT	a
he	PP	he
was	VBD	be
doing	VBG	do
like	IN	like
a	DT	a
road	NN	road
trip	NN	trip
with	IN	with
his	PP$	his
mates	NNS	mate
so	IN	so
he	PP	he
was	VBD	be
then	RB	then
meeting	VBG	meet
some	DT	some
friends	NNS	friend
to	TO	to
fly	VB	fly
over	RP	over
to	TO	to
Vegas	NP	Vegas
and	CC	and
they	PP	they
were	VBD	be
gonna	VBG	gonna
do	VB	do
their	PP$	their
little	JJ	little
road	NN	road
trip	NN	trip
so	IN	so
we	PP	we
just	RB	just
flew	VBD	fly
out	RP	out
together	RB	together
cos	NN	cos
it	PP	it
was	VBD	be
convenient	JJ	convenient
erm	NN	erm
I	PP	I
had	VBD	have
a	DT	a
night	NN	night
on	IN	on
my	PP$	my
own	JJ	own
then	RB	then
before	IN	before
I	PP	I
went	VBD	go
to	TO	to
start	VB	start
my	PP$	my
tour	NN	tour
and	CC	and
so	RB	so
before	IN	before
I	PP	I
went	VBD	go
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
I	PP	I
do	VBP	do
n't	RB	n't
wanna	VB	wanna
be	VB	be
bored	VBN	bore
like	IN	like
I	PP	I
do	VBP	do
n't	RB	n't
wanna	VB	wanna
be	VB	be
sat	VBN	sit
there	RB	there
in	IN	in
my	PP$	my
hotel	NN	hotel
room	NN	room
on	IN	on
a	DT	a
Friday	NP	Friday
night	NN	night
going	VBG	go
oh	UH	oh
I	PP	I
'm	VBP	be
in	IN	in
New	NP	New
York	NP	York
I	PP	I
'm	VBP	be
on	IN	on
my	PP$	my
own	JJ	own
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
?	SENT	?
saw	VBD	see
that	IN	that
the	DT	the
Yankees	NPS	Yankees
were	VBD	be
playing	VBG	play
and	CC	and
got	VBD	get
like	IN	like
a	DT	a
twenty	CD	twenty
quid	NN	quid
ticket	NN	ticket
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
yeah	RB	yeah
I	PP	I
'll	MD	will
go	VB	go
it	PP	it
until	IN	until
I	PP	I
got	VBD	get
there	RB	there
that	IN	that
I	PP	I
realised	VBD	realise
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
like	VB	like
travel	NN	travel
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
the	DT	the
subway	NN	subway
out	RP	out
to	TO	to
the	DT	the
Bronx	NP	Bronx
and	CC	and
then	RB	then
you	PP	you
have	VBP	have
to	TO	to
walk	VB	walk
from	IN	from
this	DT	this
like	JJ	like
shitty	JJ	shitty
subway	NN	subway
station	NN	station
to	TO	to
to	TO	to
the	DT	the
Yankees	NPS	Yankees
game	VBP	game
I	PP	I
actually	RB	actually
got	VBD	get
like	IN	like
I	PP	I
got	VBD	get
stopped	VBN	stop
by	IN	by
a	DT	a
guy	NN	guy
before	IN	before
I	PP	I
'd	VBD	have
even	RB	even
got	VBN	get
into	IN	into
the	DT	the
stadium	NN	stadium
I	PP	I
was	VBD	be
absolutely	RB	absolutely
bricking	VBG	brick
it	PP	it
on	IN	on
my	PP$	my
way	NN	way
back	RB	back
so	RB	so
like	IN	like
he	PP	he
stopped	VBD	stop
me	PP	me
and	CC	and
he	PP	he
was	VBD	be
like	IN	like
I	PP	I
was	VBD	be
on	IN	on
my	PP$	my
own	JJ	own
and	CC	and
he	PP	he
he	PP	he
stopped	VBD	stop
me	PP	me
and	CC	and
like	IN	like
he	PP	he
was	VBD	be
being	VBG	be
fairly	RB	fairly
salacious	JJ	salacious
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
