When	WRB	when
I	PP	I
was	VBD	be
helping	VBG	help
the	DT	the
German	JJ	German
teacher	NN	teacher
at	IN	at
my	PP$	my
previous	JJ	previous
school	NN	school
,	,	,
we	PP	we
tried	VBD	try
a	DT	a
different	JJ	different
approach	NN	approach
.	SENT	.
These	DT	these
were	VBD	be
students	NNS	student
who	WP	who
’d	VBD	have
actually	RB	actually
chosen	VBN	choose
to	TO	to
do	VB	do
German	JJ	German
,	,	,
but	CC	but
they	PP	they
were	VBD	be
still	RB	still
really	RB	really
reluctant	JJ	reluctant
.	SENT	.
So	RB	so
I	PP	I
used	VBD	use
to	TO	to
take	VB	take
them	PP	them
out	RP	out
of	IN	of
the	DT	the
classroom	NN	classroom
one	CD	one
by	IN	by
one	CD	one
and	CC	and
sit	VB	sit
with	IN	with
them	PP	them
in	IN	in
a	DT	a
separate	JJ	separate
room	NN	room
,	,	,
just	RB	just
going	VBG	go
through	IN	through
the	DT	the
exam	NN	exam
questions	NNS	question
.	SENT	.
At	IN	at
first	JJ	first
,	,	,
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
them	PP	them
would	MD	would
say	VB	say
,	,	,
“	``	"
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
anything	NN	anything
,	,	,
I	PP	I
ca	MD	ca
n’t	RB	n't
do	VB	do
it	PP	it
.	SENT	.
”	''	"
But	CC	but
once	RB	once
we	PP	we
started	VBD	start
working	VBG	work
through	IN	through
the	DT	the
questions	NNS	question
together	RB	together
,	,	,
they	PP	they
suddenly	RB	suddenly
realised	VBD	realise
they	PP	they
did	VBD	do
actually	RB	actually
know	VB	know
the	DT	the
material	NN	material
.	SENT	.
