No	UH	no
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
,	,	,
not	RB	not
in	IN	in
that	DT	that
one‑place	NN	one‑place
,	,	,
one‑company	NN	one‑company
sense	NN	sense
.	SENT	.
What	WP	what
appeals	VBZ	appeal
to	TO	to
me	PP	me
is	VBZ	be
having	VBG	have
my	PP$	my
own	JJ	own
business	NN	business
,	,	,
being	VBG	be
able	JJ	able
to	TO	to
move	VB	move
about	IN	about
a	DT	a
bit	NN	bit
,	,	,
change	NN	change
things	NNS	thing
up	RB	up
.	SENT	.
Every	DT	every
time	NN	time
you	PP	you
shift	VBP	shift
location	NN	location
it	PP	it
’s	VBZ	be
like	IN	like
you	PP	you
get	VBP	get
this	DT	this
jolt	NN	jolt
of	IN	of
new	JJ	new
energy	NN	energy
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
learn	VB	learn
new	JJ	new
stuff	NN	stuff
,	,	,
see	VB	see
things	NNS	thing
differently	RB	differently
,	,	,
meet	VB	meet
different	JJ	different
people	NNS	people
,	,	,
and	CC	and
that	WDT	that
forces	VBZ	force
you	PP	you
to	TO	to
keep	VB	keep
growing	VBG	grow
.	SENT	.
Staying	VBG	stay
in	IN	in
one	CD	one
place	NN	place
,	,	,
one	CD	one
setup	NN	setup
,	,	,
yeah	RB	yeah
,	,	,
you	PP	you
build	VBP	build
really	RB	really
strong	JJ	strong
ties	NNS	tie
and	CC	and
a	DT	a
sense	NN	sense
of	IN	of
community	NN	community
,	,	,
and	CC	and
there	EX	there
’s	VBZ	be
something	NN	something
good	JJ	good
in	IN	in
that	DT	that
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
feels	VBZ	feel
like	IN	like
you	PP	you
’re	VBP	be
closing	VBG	close
off	RP	off
other	JJ	other
paths	NNS	path
.	SENT	.
You	PP	you
lose	VBP	lose
the	DT	the
freedom	NN	freedom
to	TO	to
try	VB	try
different	JJ	different
things	NNS	thing
,	,	,
to	TO	to
test	VB	test
yourself	PP	yourself
in	IN	in
new	JJ	new
environments	NNS	environment
,	,	,
and	CC	and
that	DT	that
’s	VBZ	be
what	WP	what
I	PP	I
’m	NN	<unknown>
drawn	VBN	draw
to	TO	to
.	SENT	.
