No	UH	no
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
actually	RB	actually
want	VB	want
that	DT	that
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
be	VB	be
in	IN	in
one	CD	one
place	NN	place
,	,	,
in	IN	in
one	CD	one
job	NN	job
,	,	,
for	IN	for
life	NN	life
.	SENT	.
I	PP	I
’m	NN	<unknown>
much	RB	much
more	RBR	more
drawn	VBN	draw
to	TO	to
the	DT	the
idea	NN	idea
of	IN	of
running	VBG	run
my	PP$	my
own	JJ	own
business	NN	business
and	CC	and
being	VBG	be
able	JJ	able
to	TO	to
move	VB	move
around	RP	around
.	SENT	.
Every	DT	every
time	NN	time
I	PP	I
go	VBP	go
somewhere	RB	somewhere
new	JJ	new
it	PP	it
feels	VBZ	feel
reinvigorating	VBG	reinvigorate
,	,	,
like	IN	like
I	PP	I
’m	NN	<unknown>
waking	VBG	wake
up	RP	up
a	DT	a
bit	NN	bit
.	SENT	.
You	PP	you
learn	VBP	learn
new	JJ	new
things	NNS	thing
,	,	,
you	PP	you
’re	VBP	be
forced	VBN	force
to	TO	to
see	VB	see
things	NNS	thing
differently	RB	differently
,	,	,
and	CC	and
you	PP	you
get	VBP	get
to	TO	to
try	VB	try
out	RP	out
different	JJ	different
ways	NNS	way
of	IN	of
living	VBG	live
and	CC	and
working	VBG	work
.	SENT	.
Staying	VBG	stay
in	IN	in
one	CD	one
place	NN	place
,	,	,
in	IN	in
one	CD	one
role	NN	role
,	,	,
might	MD	might
build	VB	build
up	RP	up
a	DT	a
strong	JJ	strong
sense	NN	sense
of	IN	of
community	NN	community
and	CC	and
roots	NNS	root
,	,	,
and	CC	and
I	PP	I
can	MD	can
see	VB	see
why	WRB	why
that	DT	that
appeals	NNS	appeal
,	,	,
but	CC	but
it	PP	it
also	RB	also
feels	VBZ	feel
like	IN	like
it	PP	it
would	MD	would
really	RB	really
restrict	VB	restrict
my	PP$	my
freedom	NN	freedom
to	TO	to
explore	VB	explore
other	JJ	other
things	NNS	thing
.	SENT	.
