oh	UH	oh
now	RB	now
that	DT	that
was	VBD	be
entirely	RB	entirely
my	PP$	my
stupid	JJ	stupid
husband	NN	husband
’s	POS	's
fault	NN	fault
.	SENT	.
He	PP	he
decided	VBD	decide
to	TO	to
tie	VB	tie
our	PP$	our
great	JJ	great
lump	NN	lump
of	IN	of
a	DT	a
dog	NN	dog
to	TO	to
one	CD	one
of	IN	of
those	DT	those
little	JJ	little
café	NN	café
tables	NNS	table
,	,	,
on	IN	on
a	DT	a
really	RB	really
windy	JJ	windy
day	NN	day
as	IN	as
well	RB	well
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
a	DT	a
gust	NN	gust
comes	VBZ	come
,	,	,
a	DT	a
chair	NN	chair
falls	VBZ	fall
over	RP	over
,	,	,
the	DT	the
dog	NN	dog
gets	VBZ	get
spooked	VBN	spook
and	CC	and
bolts	NNS	bolt
.	SENT	.
Off	IN	off
he	PP	he
goes	VBZ	go
,	,	,
dragging	VBG	drag
this	DT	this
flaming	JJ	flaming
table	NN	table
behind	IN	behind
him	PP	him
,	,	,
straight	RB	straight
through	IN	through
the	DT	the
gap	NN	gap
in	IN	in
the	DT	the
outdoor	JJ	outdoor
seating	NN	seating
,	,	,
out	RB	out
onto	IN	onto
the	DT	the
high	JJ	high
street	NN	street
.	SENT	.
Somehow	RB	somehow
he	PP	he
managed	VBD	manage
to	TO	to
cross	VB	cross
without	IN	without
hitting	VBG	hit
anyone	NN	anyone
,	,	,
just	RB	just
this	DT	this
table	NN	table
clattering	VBG	clatter
along	RP	along
after	IN	after
him	PP	him
.	SENT	.
He	PP	he
finally	RB	finally
stopped	VBD	stop
when	WRB	when
the	DT	the
table	NN	table
smacked	VBD	smack
straight	RB	straight
into	IN	into
the	DT	the
Body	NP	Body
Care	NP	Care
shop	NN	shop
window	NN	window
and	CC	and
smashed	VBD	smash
it	PP	it
.	SENT	.
Honestly	RB	honestly
,	,	,
you	PP	you
could	MD	could
n’t	RB	n't
make	VB	make
it	PP	it
up	RP	up
–	:	-
I	PP	I
was	VBD	be
furious	JJ	furious
with	IN	with
him	PP	him
for	IN	for
tying	VBG	tie
the	DT	the
dog	NN	dog
to	TO	to
something	NN	something
that	WDT	that
actually	RB	actually
moves	VBZ	move
.	SENT	.
