when	WRB	when
told	VBD	tell
me	PP	me
cos	NN	cos
I	PP	I
sent	VBD	send
a	DT	a
message	NN	message
erm	NN	erm
a	DT	a
few	JJ	few
weeks	NNS	week
being	VBG	be
like	VB	like
oh	UH	oh
sorry	RB	sorry
you	PP	you
know	VBP	know
sorry	RB	sorry
you	PP	you
know	VBP	know
I	PP	I
did	VBD	do
n't	RB	n't
mean	VB	mean
to	TO	to
like	VB	like
rant	NN	rant
at	IN	at
you	PP	you
well	RB	well
I	PP	I
thought	VBD	think
my	PP$	my
message	NN	message
was	VBD	be
actually	RB	actually
really	RB	really
nice	JJ	nice
well	RB	well
not	RB	not
really	RB	really
nice	JJ	nice
but	CC	but
it	PP	it
was	VBD	be
n't	RB	n't
rude	JJ	rude
it	PP	it
was	VBD	be
just	RB	just
like	IN	like
putting	VBG	put
my	PP$	my
point	NN	point
across	IN	across
but	CC	but
so	RB	so
I	PP	I
was	VBD	be
like	IN	like
you	PP	you
know	VBP	know
sorry	RB	sorry
if	IN	if
it	PP	it
came	VBD	come
across	IN	across
a	DT	a
bit	NN	bit
harsh	JJ	harsh
and	CC	and
stuff	NN	stuff
she	PP	she
did	VBD	do
n't	RB	n't
reply	VB	reply
at	IN	at
all	PDT	all
this	DT	this
was	VBD	be
like	IN	like
in	IN	in
June	NP	June
after	IN	after
I	PP	I
got	VBD	get
off	RP	off
from	IN	from
holiday	NN	holiday
and	CC	and
then	RB	then
drives	VBZ	drive
me	PP	me
and	CC	and
was	VBD	be
like	VB	like
oh	UH	oh
have	VB	have
you	PP	you
I	PP	I
know	VBP	know
has	VBZ	have
n't	RB	n't
replied	VBN	reply
and	CC	and
stuff	NN	stuff
because	IN	because
she	PP	she
's	VBZ	have
been	VBN	be
really	RB	really
busy	JJ	busy
and	CC	and
at	IN	at
first	RB	first
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
yeah	RB	yeah
that	DT	that
's	VBZ	be
fine	RB	fine
no	DT	no
problem	NN	problem
and	CC	and
then	RB	then
it	PP	it
got	VBD	get
to	TO	to
it	PP	it
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
like	IN	like
she	PP	she
said	VBD	say
that	IN	that
this	DT	this
weekend	NN	weekend
she	PP	she
goes	VBZ	go
oh	UH	oh
you	PP	you
know	VBP	know
'	''	'
s	RB	<unknown>
just	RB	just
been	VBN	be
really	RB	really
busy	JJ	busy
and	CC	and
everything	NN	everything
I	PP	I
was	VBD	be
like	IN	like
well	RB	well
she	PP	she
's	VBZ	be
just	RB	just
texted	JJ	<unknown>
you	PP	you
