yeah	RB	yeah
I	PP	I
think	VBP	think
you	PP	you
're	VBP	be
right	JJ	right
,	,	,
it	PP	it
really	RB	really
*should*	NN	<unknown>
be	VB	be
a	DT	a
small	JJ	small
one	CD	one
,	,	,
not	RB	not
just	RB	just
because	IN	because
it	PP	it
's	VBZ	be
for	IN	for
kids	NNS	kid
but	CC	but
because	IN	because
not	RB	not
all	DT	all
grown‑ups	NNS	<unknown>
are	VBP	be
as	RB	as
fit	JJ	fit
as	IN	as
me	PP	me
either	RB	either
.	SENT	.
I	PP	I
was	VBD	be
thinking	VBG	think
about	IN	about
my	PP$	my
friend	NN	friend
who	WP	who
writes	VBZ	write
horror	NN	horror
stories	NNS	story
–	:	-
you	PP	you
know	VBP	know
,	,	,
she	PP	she
’s	VBZ	be
really	RB	really
not	RB	not
fit	VB	fit
at	IN	at
all	DT	all
–	:	-
and	CC	and
I	PP	I
could	MD	could
really	RB	really
imagine	VB	imagine
her	PP$	her
doing	VBG	do
the	DT	the
relaxed	VBN	relax
,	,	,
kiddy	NN	kiddy
version	NN	version
.	SENT	.
And	CC	and
actually	RB	actually
,	,	,
there	EX	there
were	VBD	be
people	NNS	people
today	NN	today
who	WP	who
were	VBD	be
clearly	RB	clearly
not	RB	not
super‑fit	JJ	<unknown>
:	:	:
there	EX	there
were	VBD	be
older	JJR	old
people	NNS	people
,	,	,
and	CC	and
even	RB	even
people	NNS	people
just	RB	just
walking	VBG	walk
it	PP	it
rather	RB	rather
than	IN	than
running	VBG	run
.	SENT	.
It	PP	it
made	VBD	make
me	PP	me
think	VBP	think
how	WRB	how
nice	JJ	nice
it	PP	it
is	VBZ	be
that	IN	that
there	EX	there
’s	VBZ	be
a	DT	a
version	NN	version
where	WRB	where
you	PP	you
can	MD	can
just	RB	just
take	VB	take
your	PP$	your
time	NN	time
,	,	,
splash	NN	splash
through	IN	through
the	DT	the
mud	NN	mud
,	,	,
climb	VB	climb
a	DT	a
few	JJ	few
things	NNS	thing
,	,	,
and	CC	and
not	RB	not
feel	VBP	feel
like	IN	like
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
some	DT	some
kind	NN	kind
of	IN	of
super‑athlete	NN	super‑athlete
.	SENT	.
A	DT	a
really	RB	really
gentle	JJ	gentle
,	,	,
child‑friendly	RB	<unknown>
one	PP	one
would	MD	would
be	VB	be
perfect	JJ	perfect
for	IN	for
people	NNS	people
like	IN	like
that	DT	that
,	,	,
and	CC	and
for	IN	for
kids	NNS	kid
,	,	,
and	CC	and
for	IN	for
nervous	JJ	nervous
grown‑ups	NNS	<unknown>
too	RB	too
.	SENT	.
I	PP	I
was	VBD	be
really	RB	really
nervous	JJ	nervous
before	IN	before
mine	NN	mine
,	,	,
remember	VBP	remember
?	SENT	?
I	PP	I
kept	VBD	keep
thinking	VBG	think
,	,	,
“	``	"
What	WP	what
if	IN	if
I	PP	I
ca	MD	ca
n’t	RB	n't
do	VB	do
it	PP	it
?	SENT	?
What	WP	what
if	IN	if
I	PP	I
’m	NN	<unknown>
not	RB	not
strong	JJ	strong
enough	RB	enough
?	SENT	?
”	''	"
But	CC	but
once	RB	once
I	PP	I
got	VBD	get
going	VBG	go
,	,	,
I	PP	I
realised	VBD	realise
I	PP	I
’m	NN	<unknown>
actually	RB	actually
much	RB	much
stronger	JJR	strong
than	IN	than
I	PP	I
thought	VBD	think
.	SENT	.
I	PP	I
managed	VBD	manage
all	PDT	all
those	DT	those
muddy	JJ	muddy
bits	NNS	bit
and	CC	and
all	PDT	all
the	DT	the
climbing	VBG	climb
and	CC	and
crawling	VBG	crawl
,	,	,
and	CC	and
I	PP	I
did	VBD	do
it	PP	it
all	DT	all
on	IN	on
my	PP$	my
own	JJ	own
.	SENT	.
That	DT	that
feeling	NN	feeling
of	IN	of
“	``	"
oh	UH	oh
,	,	,
I	PP	I
*can*	NNS	<unknown>
do	VBP	do
this	DT	this
”	''	"
was	VBD	be
amazing	JJ	amazing
.	SENT	.
Because	IN	because
of	IN	of
that	DT	that
,	,	,
now	RB	now
I	PP	I
feel	VBP	feel
like	IN	like
maybe	RB	maybe
I	PP	I
could	MD	could
try	VB	try
something	NN	something
