One	CD	one
of	IN	of
my	PP$	my
big	JJ	big
reservations	NNS	reservation
about	IN	about
you	PP	you
going	VBG	go
into	IN	into
tennis	NN	tennis
coaching	NN	coaching
is	VBZ	be
that	IN	that
,	,	,
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
tennis	NN	tennis
is	VBZ	be
something	NN	something
you	PP	you
really	RB	really
enjoy	VBP	enjoy
,	,	,
and	CC	and
once	RB	once
it	PP	it
becomes	VBZ	become
your	PP$	your
job	NN	job
it	PP	it
might	MD	might
not	RB	not
feel	VB	feel
the	DT	the
same	JJ	same
.	SENT	.
I	PP	I
’ve	VBP	have
seen	VBN	see
that	DT	that
happen	VB	happen
myself	PP	myself
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
play	VB	play
rugby	NN	rugby
at	IN	at
a	DT	a
reasonable	JJ	reasonable
level	NN	level
and	CC	and
I	PP	I
loved	VBD	love
it	PP	it
,	,	,
but	CC	but
then	RB	then
I	PP	I
went	VBD	go
into	IN	into
fitness	NN	fitness
work	NN	work
.	SENT	.
Training	NN	training
,	,	,
which	WDT	which
had	VBD	have
been	VBN	be
something	NN	something
I	PP	I
did	VBD	do
in	IN	in
my	PP$	my
free	JJ	free
time	NN	time
for	IN	for
fun	NN	fun
,	,	,
turned	VBN	turn
into	IN	into
my	PP$	my
job	NN	job
instead	RB	instead
,	,	,
and	CC	and
it	PP	it
changed	VBD	change
how	WRB	how
I	PP	I
felt	VBD	feel
about	IN	about
it	PP	it
.	SENT	.
